Timestamp,Volume Flow,Mass Flow,Average Flow,Totalizer
9.70805311203003,-0.0267486572,-0.0267486572,266.7272949219,2.00
24.714012145996094,0.4281158447,0.4281158447,265.3804626465,2.00
39.720012187957764,0.4360504150,0.4360504150,263.8155212402,2.00
54.726396322250366,0.4267120361,0.4267120361,261.8939208984,2.00
69.73267722129822,0.4244995117,0.4244995117,260.4397277832,2.00
84.73894309997559,0.4428863525,0.4428863525,259.2146606445,2.00
99.74506902694702,0.4185791016,0.4185791016,257.9011840820,3.00
114.75134897232056,0.3968048096,0.3968048096,256.1595153809,3.00
129.75776410102844,0.4094543457,0.4094543457,254.6524963379,3.00
144.76382613182068,0.4026794434,0.4026794434,253.3445281982,3.00
159.77009630203247,0.4099426270,0.4099426270,252.2384490967,3.00
174.77653408050537,0.4346160889,0.4346160889,251.2739410400,4.00
189.78287625312805,0.3964385986,0.3964385986,250.6463775635,4.00
204.7891411781311,0.4089355469,0.4089355469,249.6393432617,4.00
219.79513716697693,0.4230804443,0.4230804443,249.0070037842,4.00
234.8017222881317,0.4165039063,0.4165039063,248.1494293213,4.00
249.80766415596008,0.4004974365,0.4004974365,247.3429107666,5.00
264.813814163208,0.4271087646,0.4271087646,246.6804809570,5.00
279.8203010559082,0.4247436523,0.4247436523,246.0995635986,5.00
294.8267021179199,0.4124603271,0.4124603271,245.6943969727,5.00
309.8327133655548,0.4129638672,0.4129638672,245.4205780029,5.00
324.8389723300934,0.4283905029,0.4283905029,245.2612152100,6.00
339.8452160358429,0.4299468994,0.4299468994,245.0295562744,6.00
354.8516581058502,0.3995819092,0.3995819092,244.5307312012,6.00
369.86830615997314,0.4039916992,0.4039916992,244.2077484131,6.00
384.87821912765503,0.4045104980,0.4045104980,243.8528442383,6.00
399.88593220710754,0.4149322510,0.4149322510,243.1456146240,7.00
414.89278411865234,0.3958892822,0.3958892822,242.9913177490,7.00
429.8992671966553,0.4225616455,0.4225616455,242.6609344482,7.00
444.90580129623413,0.4183349609,0.4183349609,242.4752044678,7.00
459.91212224960327,0.3960418701,0.3960418701,242.2197113037,7.00
474.91860914230347,0.4100341797,0.4100341797,241.9348754883,7.00
489.9248242378235,0.4151000977,0.4151000977,241.7614440918,8.00
504.9312951564789,0.3762054443,0.3762054443,241.5264587402,8.00
519.9375951290131,0.4234466553,0.4234466553,241.2788848877,8.00
534.9444551467896,0.4211883545,0.4211883545,241.1688842773,8.00
549.9506113529205,0.4020538330,0.4020538330,240.9099884033,8.00
564.9569132328033,0.4125213623,0.4125213623,240.7366485596,9.00
579.9632420539856,0.3914794922,0.3914794922,240.4080657959,9.00
594.9694499969482,0.4125213623,0.4125213623,240.1069946289,9.00
609.9757423400879,0.3880615234,0.3880615234,239.8904876709,9.00
624.9822461605072,0.3995056152,0.3995056152,239.7701110840,9.00
639.9885020256042,0.4205017090,0.4205017090,239.5934448242,10.00
654.99485206604,0.4045715332,0.4045715332,239.5507049561,10.00
670.0013952255249,0.4000396729,0.4000396729,239.3694305420,10.00
685.007645368576,0.3933868408,0.3933868408,239.1866455078,10.00
700.0138943195343,0.4179382324,0.4179382324,239.1608276367,10.00
715.0204260349274,0.4263000488,0.4263000488,239.0096435547,11.00
730.0268070697784,0.3895721436,0.3895721436,238.7909698486,11.00
745.0332591533661,0.4045867920,0.4045867920,238.5726165771,11.00
760.0397281646729,0.4030151367,0.4030151367,238.2927093506,11.00
775.0458002090454,0.3842315674,0.3842315674,238.0781402588,11.00
790.052196264267,0.3933410645,0.3933410645,237.8908996582,12.00
805.0585951805115,0.4219055176,0.4219055176,237.7575531006,12.00
820.0650041103363,0.4110107422,0.4110107422,237.7530517578,12.00
835.0712571144104,0.4066619873,0.4066619873,237.6294555664,12.00
850.0776371955872,0.4189453125,0.4189453125,237.5225067139,12.00
865.0839161872864,0.3886871338,0.3886871338,237.4521942139,12.00
880.0904650688171,0.4020843506,0.4020843506,237.3100738525,13.00
895.0967311859131,0.4107818604,0.4107818604,237.1579284668,13.00
910.103306055069,0.3918914795,0.3918914795,237.0269317627,13.00
925.1100552082062,0.3891448975,0.3891448975,236.8953552246,13.00
940.116030216217,0.4117736816,0.4117736816,236.7575225830,13.00
955.1223092079163,0.4184112549,0.4184112549,236.7330169678,14.00
970.1286110877991,0.3916625977,0.3916625977,236.6527252197,14.00
985.1350462436676,0.3969879150,0.3969879150,236.6094207764,14.00
1000.141416311264,0.4022827148,0.4022827148,236.5579986572,14.00
1015.1479480266571,0.4259948730,0.4259948730,236.5651550293,14.00
1030.1539602279663,0.4229888916,0.4229888916,236.5222778320,15.00
1045.1610162258148,0.4173583984,0.4173583984,236.5036773682,15.00
1060.1667683124542,0.3994750977,0.3994750977,236.4809875488,15.00
1075.1731271743774,0.4004364014,0.4004364014,236.4343414307,15.00
1090.1794390678406,0.3874511719,0.3874511719,236.3213958740,15.00
1105.1861081123352,0.3906402588,0.3906402588,236.1610717773,16.00
1120.1924180984497,0.4303894043,0.4303894043,236.1003570557,16.00
1135.198783159256,0.4213256836,0.4213256836,236.0567169189,16.00
1150.205182313919,0.3984222412,0.3984222412,235.9004364014,16.00
1165.2113482952118,0.4015197754,0.4015197754,235.7831726074,16.00
1180.2176072597504,0.3857727051,0.3857727051,235.6319732666,17.00
1195.2239952087402,0.4033050537,0.4033050537,235.5632781982,17.00
1210.2304010391235,0.4118804932,0.4118804932,235.5138702393,17.00
1225.236649274826,0.3758087158,0.3758087158,235.3352813721,17.00
1240.2432692050934,0.4078216553,0.4078216553,235.2261962891,17.00
1255.2494940757751,0.4007415771,0.4007415771,235.0886230469,17.00
1270.255879163742,0.4109039307,0.4109039307,235.1193237305,18.00
1285.2623810768127,0.4175720215,0.4175720215,235.0816040039,18.00
1300.2687602043152,0.4138946533,0.4138946533,235.1088562012,18.00
1315.2751569747925,0.4262390137,0.4262390137,235.1143341064,18.00
1330.2811901569366,0.4176940918,0.4176940918,235.1056518555,18.00
1345.287533044815,0.3971099854,0.3971099854,235.0807189941,19.00
1360.2940661907196,0.4133453369,0.4133453369,235.0705566406,19.00
1375.3004050254822,0.3761901855,0.3761901855,234.9571685791,19.00
1390.3066811561584,0.4160919189,0.4160919189,234.9070739746,19.00
1405.3130841255188,0.4048461914,0.4048461914,234.8510284424,19.00
1420.3194551467896,0.4226226807,0.4226226807,234.8619842529,20.00
1435.3257510662079,0.4181671143,0.4181671143,234.8695983887,20.00
1450.4023292064667,0.3947296143,0.3947296143,234.8122558594,20.00
1465.4089741706848,0.4005889893,0.4005889893,234.7786865234,20.00
1480.4159092903137,0.3895874023,0.3895874023,234.6811828613,20.00
1495.4225642681122,0.3920593262,0.3920593262,234.6561279297,21.00
1510.4292800426483,0.4085845947,0.4085845947,234.6602325439,21.00
1525.43603515625,0.4060974121,0.4060974121,234.6096649170,21.00
1540.442806005478,0.4234771729,0.4234771729,234.6407470703,21.00
1555.449428319931,0.4050750732,0.4050750732,234.5626373291,21.00
1570.4561591148376,0.4092102051,0.4092102051,234.5591735840,22.00
1585.4628942012787,0.3941192627,0.3941192627,234.5028228760,22.00
1600.470093011856,0.4045867920,0.4045867920,234.5272827148,22.00
