Timestamp,Volume Flow,Mass Flow,Average Flow,Totalizer
12.321676015853882,0.3097076416,0.3097076416,1311.6547851563,1.00
27.328054189682007,0.3243713379,0.3243713379,1296.9859619141,2.00
42.334556341171265,0.3564300537,0.3564300537,1305.8374023438,3.00
57.34118103981018,0.3142547607,0.3142547607,1296.4377441406,4.00
72.34792113304138,0.3084106445,0.3084106445,1282.2080078125,5.00
87.35435914993286,0.3005371094,0.3005371094,1265.6555175781,6.00
102.36104202270508,0.3340911865,0.3340911865,1262.1473388672,7.00
117.36769413948059,0.3049163818,0.3049163818,1255.7506103516,8.00
132.37394523620605,0.3050384521,0.3050384521,1246.5158691406,9.00
147.38061022758484,0.3106079102,0.3106079102,1244.6883544922,10.00
162.38714289665222,0.2881317139,0.2881317139,1235.1845703125,11.00
177.39367413520813,0.2902526855,0.2902526855,1228.6514892578,12.00
192.40029001235962,0.2923583984,0.2923583984,1225.1871337891,13.00
207.40683317184448,0.2889862061,0.2889862061,1219.4019775391,14.00
222.41340708732605,0.2853393555,0.2853393555,1213.3377685547,15.00
237.42005705833435,0.3075866699,0.3075866699,1211.4462890625,16.00
252.4267599582672,0.2990875244,0.2990875244,1208.8901367188,17.00
267.43331003189087,0.2920227051,0.2920227051,1206.6578369141,18.00
282.4400053024292,0.2764739990,0.2764739990,1203.2200927734,19.00
297.44639325141907,0.2760467529,0.2760467529,1198.6856689453,20.00
312.4529809951782,0.2878875732,0.2878875732,1194.7819824219,21.00
327.45952105522156,0.2906799316,0.2906799316,1192.9046630859,22.00
342.4660449028015,0.2848205566,0.2848205566,1191.9830322266,23.00
357.47274231910706,0.2946319580,0.2946319580,1187.9595947266,24.00
372.47925209999084,0.2780609131,0.2780609131,1184.3049316406,25.00
387.4859719276428,0.2605743408,0.2605743408,1179.7792968750,25.00
402.4923520088196,0.2713012695,0.2713012695,1175.7364501953,26.00
417.49908208847046,0.2984619141,0.2984619141,1174.3952636719,27.00
432.5055491924286,0.2765808105,0.2765808105,1170.7442626953,28.00
447.51235723495483,0.2870635986,0.2870635986,1168.4584960938,29.00
462.519011259079,0.2761230469,0.2761230469,1165.0632324219,30.00
477.5254981517792,0.2743835449,0.2743835449,1162.4162597656,31.00
492.5321090221405,0.2852630615,0.2852630615,1160.1062011719,32.00
507.53860998153687,0.2714691162,0.2714691162,1156.7569580078,33.00
522.5451760292053,0.2478790283,0.2478790283,1152.9426269531,33.00
537.5517730712891,0.2742462158,0.2742462158,1151.0837402344,34.00
552.5583701133728,0.2658233643,0.2658233643,1149.2473144531,35.00
567.5649211406708,0.2841796875,0.2841796875,1146.6805419922,36.00
582.5714771747589,0.2682952881,0.2682952881,1143.8931884766,37.00
597.5780642032623,0.2683563232,0.2683563232,1141.0684814453,38.00
612.5846462249756,0.2740783691,0.2740783691,1138.7812500000,39.00
627.5913181304932,0.2735137939,0.2735137939,1136.8936767578,40.00
642.5980150699615,0.2672882080,0.2672882080,1135.5795898438,41.00
657.6045980453491,0.2620391846,0.2620391846,1133.4647216797,41.00
672.611248254776,0.2604064941,0.2604064941,1131.3676757813,42.00
687.6176671981812,0.2600860596,0.2600860596,1129.1455078125,43.00
702.6243500709534,0.2744750977,0.2744750977,1127.5477294922,44.00
717.630862236023,0.2850952148,0.2850952148,1125.9130859375,45.00
732.6374552249908,0.2818908691,0.2818908691,1124.0483398438,46.00
747.6440851688385,0.2684936523,0.2684936523,1122.4519042969,47.00
762.6507802009583,0.2719879150,0.2719879150,1120.8659667969,47.00
777.6573331356049,0.2870941162,0.2870941162,1120.0877685547,48.00
