Timestamp,Volume Flow,Mass Flow,Average Flow,Totalizer
3.8281877040863037,0.1792449951,0.1792449951,2566.8364257813,741.00
10.835133790969849,-0.1988220215,-0.1988220215,2566.8364257813,741.00
17.84172487258911,6.0963439941,6.0963439941,2567.0207519531,742.00
24.848553895950317,5.9225311279,5.9225311279,2567.1203613281,743.00
31.85546374320984,6.3261871338,6.3261871338,2567.4321289063,744.00
38.86252784729004,6.7354431152,6.7354431152,2567.9270019531,745.00
45.869144916534424,6.5497283936,6.5497283936,2568.3295898438,746.00
52.87632393836975,5.6779632568,5.6779632568,2568.2148437500,747.00
59.88314485549927,5.8792877197,5.8792877197,2568.2922363281,748.00
66.88986372947693,6.0316619873,6.0316619873,2568.7705078125,749.00
73.89685869216919,5.3041992188,5.3041992188,2568.5759277344,750.00
80.9036557674408,5.8493957520,5.8493957520,2568.6381835938,751.00
87.91055297851562,5.0553741455,5.0553741455,2568.8041992188,752.00
94.91749501228333,6.0203094482,6.0203094482,2568.9477539063,753.00
101.92419290542603,5.4886016846,5.4886016846,2569.4741210938,755.00
108.93118691444397,5.7042694092,5.7042694092,2569.4670410156,755.00
115.93803477287292,5.4576568604,5.4576568604,2569.3442382813,756.00
122.94483089447021,6.3361816406,6.3361816406,2570.0175781250,758.00
129.95174908638,6.0572662354,6.0572662354,2570.1762695313,758.00
136.95865392684937,6.3724212646,6.3724212646,2570.5883789063,760.00
143.96554493904114,6.1243286133,6.1243286133,2570.7775878906,761.00
150.97265601158142,5.8274841309,5.8274841309,2570.8269042969,761.00
157.97946691513062,5.6895141602,5.6895141602,2571.1735839844,763.00
164.98642873764038,5.7184143066,5.7184143066,2571.1716308594,764.00
171.99344301223755,6.2047271729,6.2047271729,2571.8071289063,765.00
178.99991488456726,6.1540222168,6.1540222168,2572.0083007813,766.00
186.0067639350891,6.4816436768,6.4816436768,2572.3642578125,767.00
193.0137119293213,6.0401153564,6.0401153564,2572.4951171875,768.00
200.02056074142456,6.1031494141,6.1031494141,2572.6711425781,769.00
207.02752089500427,6.2566833496,6.2566833496,2573.1279296875,771.00
214.0344638824463,6.7591705322,6.7591705322,2573.6127929688,772.00
221.0414788722992,5.4458312988,5.4458312988,2573.4833984375,772.00
228.04816102981567,6.4741516113,6.4741516113,2573.9396972656,774.00
235.05501294136047,6.2210388184,6.2210388184,2574.1682128906,775.00
242.061870098114,7.0313110352,7.0313110352,2575.1179199219,776.00
249.06875491142273,6.6474456787,6.6474456787,2575.5446777344,777.00
256.0757360458374,6.6170349121,6.6170349121,2575.9562988281,778.00
263.0797188282013,6.5363464355,6.5363464355,2576.7089843750,780.00
270.08368587493896,6.4191589355,6.4191589355,2577.0256347656,780.00
277.08862590789795,7.1651306152,7.1651306152,2577.8156738281,782.00
284.0942339897156,5.9969177246,5.9969177246,2577.9348144531,783.00
291.10038805007935,5.9279022217,5.9279022217,2578.0224609375,784.00
298.10680890083313,6.4192962646,6.4192962646,2579.0253906250,785.00
305.11333084106445,6.1805572510,6.1805572510,2579.2275390625,786.00
312.1201379299164,6.4895477295,6.4895477295,2579.7622070313,788.00
319.12676978111267,6.1672668457,6.1672668457,2579.9570312500,789.00
326.13374400138855,5.4508666992,5.4508666992,2579.8266601563,789.00
333.1404438018799,6.6384277344,6.6384277344,2580.0190429688,791.00
340.1473639011383,5.2433319092,5.2433319092,2579.7963867188,791.00
347.1540961265564,5.7132720947,5.7132720947,2580.0373535156,793.00
354.16106700897217,6.9006958008,6.9006958008,2580.5695800781,794.00
361.1679091453552,5.8576507568,5.8576507568,2580.6218261719,794.00
368.1748390197754,5.4240570068,5.4240570068,2580.4277343750,796.00
375.1817739009857,5.3185272217,5.3185272217,2580.2395019531,797.00
382.1884069442749,5.9493713379,5.9493713379,2580.4597167969,798.00
389.1953489780426,5.9584197998,5.9584197998,2580.5568847656,799.00
396.2021818161011,5.7264251709,5.7264251709,2580.5502929688,799.00
403.2090480327606,6.5769653320,6.5769653320,2581.0292968750,801.00
410.2159049510956,5.9595489502,5.9595489502,2581.1264648438,802.00
417.2228648662567,5.9672393799,5.9672393799,2581.5319824219,803.00
424.2295649051666,6.0457458496,6.0457458496,2581.6669921875,804.00
431.23643803596497,6.4513702393,6.4513702393,2581.9846191406,805.00
438.2433331012726,5.7974243164,5.7974243164,2582.0161132813,806.00
445.2502567768097,5.9285736084,5.9285736084,2582.0979003906,807.00
452.25723099708557,6.2111206055,6.2111206055,2582.3386230469,809.00
459.2642307281494,6.2594299316,6.2594299316,2582.5678710938,809.00
466.2708547115326,5.8579559326,5.8579559326,2582.6174316406,810.00
473.278000831604,6.6333618164,6.6333618164,2583.3781738281,812.00
480.2844789028168,5.6224975586,5.6224975586,2583.3234863281,813.00
487.2915587425232,6.6607971191,6.6607971191,2584.2241210938,814.00
494.29826402664185,5.3325195313,5.3325195313,2584.0427246094,815.00
501.30539107322693,5.7802429199,5.7802429199,2584.0566406250,816.00
508.3120698928833,6.3545532227,6.3545532227,2584.2536621094,817.00
515.3188951015472,6.5175933838,6.5175933838,2584.5942382813,818.00
522.3258008956909,6.2570648193,6.2570648193,2585.0170898438,820.00
529.3326308727264,5.5794219971,5.5794219971,2584.9423828125,820.00
