Timestamp,Volume Flow,Mass Flow,Average Flow,Totalizer
1.341810941696167,2.1645507813,2.1645507813,nan,0.00
11.347387313842773,3.8494567871,3.8494567871,nan,0.00
21.35305404663086,-0.2644195557,-0.2644195557,nan,0.00
31.35922908782959,487.3990478516,487.3990478516,-689.6414184570,ovf
41.36603307723999,492.1954956055,492.1954956055,8.7706975937,0.00
51.37238311767578,538.9116821289,538.9116821289,186.2035217285,1.00
61.37821817398071,526.9143676758,526.9143676758,269.2926635742,2.00
71.38021421432495,500.6446228027,500.6446228027,315.7297973633,4.00
81.38411211967468,465.6182556152,465.6182556152,345.9277648926,5.00
91.38948321342468,509.4381103516,509.4381103516,368.0120544434,6.00
101.39518713951111,513.1338500977,513.1338500977,384.4308166504,8.00
111.40116810798645,488.2845458984,488.2845458984,396.6828002930,9.00
121.4075140953064,534.4042358398,534.4042358398,408.2846984863,11.00
131.41388607025146,471.9766235352,471.9766235352,415.4448242188,12.00
141.42033100128174,468.4100341797,468.4100341797,422.2653808594,13.00
151.42657113075256,478.9806518555,478.9806518555,427.4323425293,15.00
161.4332001209259,484.2260131836,484.2260131836,432.7412414551,16.00
171.4394941329956,464.8557434082,464.8557434082,436.9953002930,17.00
181.44605803489685,490.5228881836,490.5228881836,440.2268676758,19.00
191.45241117477417,533.9922485352,533.9922485352,443.0478515625,20.00
201.4588942527771,512.9677734375,512.9677734375,445.6053161621,21.00
211.46534705162048,477.4802246094,477.4802246094,447.7722167969,23.00
221.47188305854797,490.2707519531,490.2707519531,450.5816040039,24.00
231.47854208946228,512.4573974609,512.4573974609,452.7605285645,26.00
241.48475909233093,529.5462646484,529.5462646484,454.7906799316,27.00
251.49103713035583,491.4391174316,491.4391174316,456.2319641113,28.00
261.4974911212921,543.2960815430,543.2960815430,457.8641662598,30.00
271.5040030479431,477.7200622559,477.7200622559,459.4296569824,31.00
281.5106041431427,507.0521850586,507.0521850586,460.9530334473,32.00
291.5168991088867,448.3510437012,448.3510437012,461.9385375977,34.00
301.52330112457275,484.7855834961,484.7855834961,462.7869873047,35.00
311.52972507476807,507.7593383789,507.7593383789,464.3641052246,37.00
331.53883719444275,475.1988525391,475.1988525391,465.5373229980,39.00
341.54515624046326,462.5190124512,462.5190124512,465.7513732910,40.00
351.5516850948334,511.1845092773,511.1845092773,466.6829833984,42.00
361.5580689907074,492.8473205566,492.8473205566,467.4137268066,43.00
371.5644302368164,503.9959716797,503.9959716797,468.3080444336,45.00
381.5711193084717,480.1428833008,480.1428833008,468.9340820313,46.00
391.5772953033447,533.5556030273,533.5556030273,469.7961425781,47.00
401.5837891101837,501.5485534668,501.5485534668,470.5214538574,49.00
411.5904221534729,496.6414184570,496.6414184570,471.0746765137,50.00
421.59666419029236,464.3760986328,464.3760986328,471.2504882813,51.00
431.60328102111816,512.9923706055,512.9923706055,471.7131958008,53.00
441.60955023765564,523.2309570313,523.2309570313,472.1704406738,54.00
451.6162850856781,493.1855163574,493.1855163574,472.5298461914,55.00
461.62258219718933,517.4075927734,517.4075927734,472.9990539551,57.00
471.62891125679016,541.3344726563,541.3344726563,473.5417480469,58.00
481.6353499889374,525.3955078125,525.3955078125,473.8340148926,60.00
491.64183712005615,495.0549011230,495.0549011230,474.3454589844,61.00
501.6483862400055,505.8038635254,505.8038635254,474.6404418945,62.00
511.65470695495605,504.7769470215,504.7769470215,475.0024414063,64.00
521.6614811420441,464.2346496582,464.2346496582,475.3992004395,65.00
531.6676511764526,532.0859375000,532.0859375000,475.7036743164,66.00
541.6739721298218,472.8928527832,472.8928527832,476.0192871094,68.00
551.680623292923,513.7487792969,513.7487792969,476.4874877930,69.00
561.6869521141052,455.7055969238,455.7055969238,476.5496215820,70.00
571.693400144577,470.8758850098,470.8758850098,476.7586975098,72.00
581.6998550891876,541.5804443359,541.5804443359,476.8309936523,73.00
591.7064781188965,487.0731201172,487.0731201172,477.2083129883,75.00
601.7127351760864,454.4080810547,454.4080810547,477.0941162109,76.00
611.719269990921,472.6284484863,472.6284484863,477.1912231445,77.00
621.7255251407623,501.8621826172,501.8621826172,477.4316406250,79.00
631.7320530414581,460.0285339355,460.0285339355,477.6270751953,80.00
641.7386021614075,478.7285461426,478.7285461426,477.6668090820,81.00
651.7449700832367,531.7539062500,531.7539062500,477.8870239258,83.00
661.7515821456909,507.3227539063,507.3227539063,478.0899047852,84.00
671.7578241825104,473.1880187988,473.1880187988,478.1770629883,85.00
681.7641971111298,495.9711608887,495.9711608887,478.3904724121,87.00
691.7709319591522,485.3759155273,485.3759155273,478.7718505859,88.00
701.7770900726318,472.7821655273,472.7821655273,478.8148193359,89.00
